id_measurement,id_rp,id_sensor,temperature,measured_date,humidity,save_date
390,1,1,29,2021-04-24 22:23:07.983482+02,32,2021-04-26 09:39:48.351646
392,1,1,29,2021-04-24 22:33:08.142062+02,32,2021-04-26 09:39:48.965288
394,1,1,29,2021-04-24 22:43:08.342153+02,32,2021-04-26 09:39:49.962996
396,1,1,28,2021-04-24 22:53:08.542328+02,33,2021-04-26 09:39:51.253424
398,1,1,28,2021-04-24 23:03:08.742625+02,33,2021-04-26 09:39:51.947703
400,1,1,28,2021-04-24 23:13:08.942867+02,33,2021-04-26 09:39:52.470104
402,1,1,27,2021-04-24 23:23:09.143068+02,35,2021-04-26 09:39:52.781481
404,1,1,27,2021-04-24 23:33:09.34306+02,35,2021-04-26 09:39:53.06208
406,1,1,26,2021-04-24 23:43:09.543318+02,36,2021-04-26 09:39:53.36087
408,1,1,26,2021-04-24 23:53:09.743669+02,36,2021-04-26 09:39:53.652363
410,1,1,26,2021-04-25 00:03:09.943867+02,37,2021-04-26 09:39:53.933439
412,1,1,25,2021-04-25 00:13:10.144083+02,37,2021-04-26 09:39:54.223222
414,1,1,25,2021-04-25 00:23:10.307291+02,38,2021-04-26 09:39:54.513883
416,1,1,25,2021-04-25 00:33:10.507556+02,38,2021-04-26 09:39:54.805032
418,1,1,24,2021-04-25 00:43:10.707828+02,38,2021-04-26 09:39:55.088694
420,1,1,24,2021-04-25 00:53:10.908035+02,39,2021-04-26 09:39:55.380687
422,1,1,24,2021-04-25 01:03:11.025399+02,39,2021-04-26 09:39:55.678408
424,1,1,24,2021-04-25 01:13:11.128145+02,39,2021-04-26 09:39:55.978806
426,1,1,24,2021-04-25 01:23:11.302709+02,39,2021-04-26 09:39:56.27127
428,1,1,24,2021-04-25 01:33:11.502902+02,39,2021-04-26 09:39:56.648156
430,1,1,23,2021-04-25 01:43:11.703143+02,40,2021-04-26 09:39:56.959145
432,1,1,23,2021-04-25 01:53:11.90336+02,40,2021-04-26 09:39:57.24434
